,rate,lower,upper,year,tax_type
0,2.0,0,2000,1916,Head
1,4.0,2000,5000,1916,Head
2,5.0,5000,7500,1916,Head
3,6.0,7500,10000,1916,Head
4,7.0,10000,12500,1916,Head
5,8.0,12500,15000,1916,Head
6,9.0,15000,20000,1916,Head
7,12.0,20000,40000,1916,Head
8,16.0,40000,60000,1916,Head
9,21.0,60000,80000,1916,Head
10,26.0,80000,100000,1916,Head
11,31.0,100000,150000,1916,Head
12,35.0,150000,200000,1916,Head
13,41.0,200000,250000,1916,Head
14,46.0,250000,300000,1916,Head
15,50.0,300000,500000,1916,Head
16,54.0,500000,750000,1916,Head
17,59.0,750000,1000000,1916,Head
18,65.0,1000000,1500000,1916,Head
19,66.0,1500000,2000000,1916,Head
20,67.0,2000000,10000000,1916,Head
21,2.0,0,2000,1916,Jointly
22,4.0,2000,5000,1916,Jointly
23,5.0,5000,7500,1916,Jointly
24,6.0,7500,10000,1916,Jointly
25,7.0,10000,12500,1916,Jointly
26,8.0,12500,15000,1916,Jointly
27,9.0,15000,20000,1916,Jointly
28,12.0,20000,40000,1916,Jointly
29,16.0,40000,60000,1916,Jointly
30,21.0,60000,80000,1916,Jointly
31,26.0,80000,100000,1916,Jointly
32,31.0,100000,150000,1916,Jointly
33,35.0,150000,200000,1916,Jointly
34,41.0,200000,250000,1916,Jointly
35,46.0,250000,300000,1916,Jointly
36,50.0,300000,500000,1916,Jointly
37,54.0,500000,750000,1916,Jointly
38,59.0,750000,1000000,1916,Jointly
39,65.0,1000000,1500000,1916,Jointly
40,66.0,1500000,2000000,1916,Jointly
41,67.0,2000000,10000000,1916,Jointly
42,2.0,0,2000,1916,Separately
43,4.0,2000,5000,1916,Separately
44,5.0,5000,7500,1916,Separately
45,6.0,7500,10000,1916,Separately
46,7.0,10000,12500,1916,Separately
47,8.0,12500,15000,1916,Separately
48,9.0,15000,20000,1916,Separately
49,12.0,20000,40000,1916,Separately
50,16.0,40000,60000,1916,Separately
51,21.0,60000,80000,1916,Separately
52,26.0,80000,100000,1916,Separately
53,31.0,100000,150000,1916,Separately
54,35.0,150000,200000,1916,Separately
55,41.0,200000,250000,1916,Separately
56,46.0,250000,300000,1916,Separately
57,50.0,300000,500000,1916,Separately
58,54.0,500000,750000,1916,Separately
59,59.0,750000,1000000,1916,Separately
60,65.0,1000000,1500000,1916,Separately
61,66.0,1500000,2000000,1916,Separately
62,67.0,2000000,10000000,1916,Separately
63,2.0,0,2000,1916,Single
64,4.0,2000,5000,1916,Single
65,5.0,5000,7500,1916,Single
66,6.0,7500,10000,1916,Single
67,7.0,10000,12500,1916,Single
68,8.0,12500,15000,1916,Single
69,9.0,15000,20000,1916,Single
70,12.0,20000,40000,1916,Single
71,16.0,40000,60000,1916,Single
72,21.0,60000,80000,1916,Single
73,26.0,80000,100000,1916,Single
74,31.0,100000,150000,1916,Single
75,35.0,150000,200000,1916,Single
76,41.0,200000,250000,1916,Single
77,46.0,250000,300000,1916,Single
78,50.0,300000,500000,1916,Single
79,54.0,500000,750000,1916,Single
80,59.0,750000,1000000,1916,Single
81,65.0,1000000,1500000,1916,Single
82,66.0,1500000,2000000,1916,Single
83,67.0,2000000,10000000,1916,Single
84,2.0,0,20000,1917,Head
85,3.0,20000,40000,1917,Head
86,4.0,40000,60000,1917,Head
87,5.0,60000,80000,1917,Head
88,6.0,80000,100000,1917,Head
89,7.0,100000,150000,1917,Head
90,8.0,150000,200000,1917,Head
91,9.0,200000,250000,1917,Head
92,10.0,250000,300000,1917,Head
93,11.0,300000,500000,1917,Head
94,12.0,500000,1000000,1917,Head
95,13.0,1000000,1500000,1917,Head
96,14.0,1500000,2000000,1917,Head
97,15.0,2000000,10000000,1917,Head
98,2.0,0,20000,1917,Jointly
99,3.0,20000,40000,1917,Jointly
100,4.0,40000,60000,1917,Jointly
101,5.0,60000,80000,1917,Jointly
102,6.0,80000,100000,1917,Jointly
103,7.0,100000,150000,1917,Jointly
104,8.0,150000,200000,1917,Jointly
105,9.0,200000,250000,1917,Jointly
106,10.0,250000,300000,1917,Jointly
107,11.0,300000,500000,1917,Jointly
108,12.0,500000,1000000,1917,Jointly
109,13.0,1000000,1500000,1917,Jointly
110,14.0,1500000,2000000,1917,Jointly
111,15.0,2000000,10000000,1917,Jointly
112,2.0,0,20000,1917,Separately
113,3.0,20000,40000,1917,Separately
114,4.0,40000,60000,1917,Separately
115,5.0,60000,80000,1917,Separately
116,6.0,80000,100000,1917,Separately
117,7.0,100000,150000,1917,Separately
118,8.0,150000,200000,1917,Separately
119,9.0,200000,250000,1917,Separately
120,10.0,250000,300000,1917,Separately
121,11.0,300000,500000,1917,Separately
122,12.0,500000,1000000,1917,Separately
123,13.0,1000000,1500000,1917,Separately
124,14.0,1500000,2000000,1917,Separately
125,15.0,2000000,10000000,1917,Separately
126,2.0,0,20000,1917,Single
127,3.0,20000,40000,1917,Single
128,4.0,40000,60000,1917,Single
129,5.0,60000,80000,1917,Single
130,6.0,80000,100000,1917,Single
131,7.0,100000,150000,1917,Single
132,8.0,150000,200000,1917,Single
133,9.0,200000,250000,1917,Single
134,10.0,250000,300000,1917,Single
135,11.0,300000,500000,1917,Single
136,12.0,500000,1000000,1917,Single
137,13.0,1000000,1500000,1917,Single
138,14.0,1500000,2000000,1917,Single
139,15.0,2000000,10000000,1917,Single
140,6.0,0,4000,1918,Head
141,12.0,4000,5000,1918,Head
142,13.0,5000,6000,1918,Head
143,14.0,6000,8000,1918,Head
144,15.0,8000,10000,1918,Head
145,16.0,10000,12000,1918,Head
146,17.0,12000,14000,1918,Head
147,18.0,14000,16000,1918,Head
148,19.0,16000,18000,1918,Head
149,20.0,18000,20000,1918,Head
150,21.0,20000,22000,1918,Head
151,22.0,22000,24000,1918,Head
152,23.0,24000,26000,1918,Head
153,24.0,26000,28000,1918,Head
154,25.0,28000,30000,1918,Head
155,26.0,30000,32000,1918,Head
156,27.0,32000,34000,1918,Head
157,28.0,34000,36000,1918,Head
158,29.0,36000,38000,1918,Head
159,30.0,38000,40000,1918,Head
160,31.0,40000,42000,1918,Head
161,32.0,42000,44000,1918,Head
162,33.0,44000,46000,1918,Head
163,34.0,46000,48000,1918,Head
164,35.0,48000,50000,1918,Head
165,36.0,50000,52000,1918,Head
166,37.0,52000,54000,1918,Head
167,38.0,54000,56000,1918,Head
168,39.0,56000,58000,1918,Head
169,40.0,58000,60000,1918,Head
170,41.0,60000,62000,1918,Head
171,42.0,62000,64000,1918,Head
172,43.0,64000,66000,1918,Head
173,44.0,66000,68000,1918,Head
174,45.0,68000,70000,1918,Head
175,46.0,70000,72000,1918,Head
176,47.0,72000,74000,1918,Head
177,48.0,74000,76000,1918,Head
178,49.0,76000,78000,1918,Head
179,50.0,78000,80000,1918,Head
180,51.0,80000,82000,1918,Head
181,52.0,82000,84000,1918,Head
182,53.0,84000,86000,1918,Head
183,54.0,86000,88000,1918,Head
184,55.0,88000,90000,1918,Head
185,56.0,90000,92000,1918,Head
186,57.0,92000,94000,1918,Head
187,58.0,94000,96000,1918,Head
188,59.0,96000,98000,1918,Head
189,60.0,98000,100000,1918,Head
190,64.0,100000,150000,1918,Head
191,68.0,150000,200000,1918,Head
192,72.0,200000,300000,1918,Head
193,75.0,300000,500000,1918,Head
194,76.0,500000,1000000,1918,Head
195,77.0,1000000,10000000,1918,Head
196,6.0,0,4000,1918,Jointly
197,12.0,4000,5000,1918,Jointly
198,13.0,5000,6000,1918,Jointly
199,14.0,6000,8000,1918,Jointly
200,15.0,8000,10000,1918,Jointly
201,16.0,10000,12000,1918,Jointly
202,17.0,12000,14000,1918,Jointly
203,18.0,14000,16000,1918,Jointly
204,19.0,16000,18000,1918,Jointly
205,20.0,18000,20000,1918,Jointly
206,21.0,20000,22000,1918,Jointly
207,22.0,22000,24000,1918,Jointly
208,23.0,24000,26000,1918,Jointly
209,24.0,26000,28000,1918,Jointly
210,25.0,28000,30000,1918,Jointly
211,26.0,30000,32000,1918,Jointly
212,27.0,32000,34000,1918,Jointly
213,28.0,34000,36000,1918,Jointly
214,29.0,36000,38000,1918,Jointly
215,30.0,38000,40000,1918,Jointly
216,31.0,40000,42000,1918,Jointly
217,32.0,42000,44000,1918,Jointly
218,33.0,44000,46000,1918,Jointly
219,34.0,46000,48000,1918,Jointly
220,35.0,48000,50000,1918,Jointly
221,36.0,50000,52000,1918,Jointly
222,37.0,52000,54000,1918,Jointly
223,38.0,54000,56000,1918,Jointly
224,39.0,56000,58000,1918,Jointly
225,40.0,58000,60000,1918,Jointly
226,41.0,60000,62000,1918,Jointly
227,42.0,62000,64000,1918,Jointly
228,43.0,64000,66000,1918,Jointly
229,44.0,66000,68000,1918,Jointly
230,45.0,68000,70000,1918,Jointly
231,46.0,70000,72000,1918,Jointly
232,47.0,72000,74000,1918,Jointly
233,48.0,74000,76000,1918,Jointly
234,49.0,76000,78000,1918,Jointly
235,50.0,78000,80000,1918,Jointly
236,51.0,80000,82000,1918,Jointly
237,52.0,82000,84000,1918,Jointly
238,53.0,84000,86000,1918,Jointly
239,54.0,86000,88000,1918,Jointly
240,55.0,88000,90000,1918,Jointly
241,56.0,90000,92000,1918,Jointly
242,57.0,92000,94000,1918,Jointly
243,58.0,94000,96000,1918,Jointly
244,59.0,96000,98000,1918,Jointly
245,60.0,98000,100000,1918,Jointly
246,64.0,100000,150000,1918,Jointly
247,68.0,150000,200000,1918,Jointly
248,72.0,200000,300000,1918,Jointly
249,75.0,300000,500000,1918,Jointly
250,76.0,500000,1000000,1918,Jointly
251,77.0,1000000,10000000,1918,Jointly
252,6.0,0,4000,1918,Separately
253,12.0,4000,5000,1918,Separately
254,13.0,5000,6000,1918,Separately
255,14.0,6000,8000,1918,Separately
256,15.0,8000,10000,1918,Separately
257,16.0,10000,12000,1918,Separately
258,17.0,12000,14000,1918,Separately
259,18.0,14000,16000,1918,Separately
260,19.0,16000,18000,1918,Separately
261,20.0,18000,20000,1918,Separately
262,21.0,20000,22000,1918,Separately
263,22.0,22000,24000,1918,Separately
264,23.0,24000,26000,1918,Separately
265,24.0,26000,28000,1918,Separately
266,25.0,28000,30000,1918,Separately
267,26.0,30000,32000,1918,Separately
268,27.0,32000,34000,1918,Separately
269,28.0,34000,36000,1918,Separately
270,29.0,36000,38000,1918,Separately
271,30.0,38000,40000,1918,Separately
272,31.0,40000,42000,1918,Separately
273,32.0,42000,44000,1918,Separately
274,33.0,44000,46000,1918,Separately
275,34.0,46000,48000,1918,Separately
276,35.0,48000,50000,1918,Separately
277,36.0,50000,52000,1918,Separately
278,37.0,52000,54000,1918,Separately
279,38.0,54000,56000,1918,Separately
280,39.0,56000,58000,1918,Separately
281,40.0,58000,60000,1918,Separately
282,41.0,60000,62000,1918,Separately
283,42.0,62000,64000,1918,Separately
284,43.0,64000,66000,1918,Separately
285,44.0,66000,68000,1918,Separately
286,45.0,68000,70000,1918,Separately
287,46.0,70000,72000,1918,Separately
288,47.0,72000,74000,1918,Separately
289,48.0,74000,76000,1918,Separately
290,49.0,76000,78000,1918,Separately
291,50.0,78000,80000,1918,Separately
292,51.0,80000,82000,1918,Separately
293,52.0,82000,84000,1918,Separately
294,53.0,84000,86000,1918,Separately
295,54.0,86000,88000,1918,Separately
296,55.0,88000,90000,1918,Separately
297,56.0,90000,92000,1918,Separately
298,57.0,92000,94000,1918,Separately
299,58.0,94000,96000,1918,Separately
300,59.0,96000,98000,1918,Separately
301,60.0,98000,100000,1918,Separately
302,64.0,100000,150000,1918,Separately
303,68.0,150000,200000,1918,Separately
304,72.0,200000,300000,1918,Separately
305,75.0,300000,500000,1918,Separately
306,76.0,500000,1000000,1918,Separately
307,77.0,1000000,10000000,1918,Separately
308,6.0,0,4000,1918,Single
309,12.0,4000,5000,1918,Single
310,13.0,5000,6000,1918,Single
311,14.0,6000,8000,1918,Single
312,15.0,8000,10000,1918,Single
313,16.0,10000,12000,1918,Single
314,17.0,12000,14000,1918,Single
315,18.0,14000,16000,1918,Single
316,19.0,16000,18000,1918,Single
317,20.0,18000,20000,1918,Single
318,21.0,20000,22000,1918,Single
319,22.0,22000,24000,1918,Single
320,23.0,24000,26000,1918,Single
321,24.0,26000,28000,1918,Single
322,25.0,28000,30000,1918,Single
323,26.0,30000,32000,1918,Single
324,27.0,32000,34000,1918,Single
325,28.0,34000,36000,1918,Single
326,29.0,36000,38000,1918,Single
327,30.0,38000,40000,1918,Single
328,31.0,40000,42000,1918,Single
329,32.0,42000,44000,1918,Single
330,33.0,44000,46000,1918,Single
331,34.0,46000,48000,1918,Single
332,35.0,48000,50000,1918,Single
333,36.0,50000,52000,1918,Single
334,37.0,52000,54000,1918,Single
335,38.0,54000,56000,1918,Single
336,39.0,56000,58000,1918,Single
337,40.0,58000,60000,1918,Single
338,41.0,60000,62000,1918,Single
339,42.0,62000,64000,1918,Single
340,43.0,64000,66000,1918,Single
341,44.0,66000,68000,1918,Single
342,45.0,68000,70000,1918,Single
343,46.0,70000,72000,1918,Single
344,47.0,72000,74000,1918,Single
345,48.0,74000,76000,1918,Single
346,49.0,76000,78000,1918,Single
347,50.0,78000,80000,1918,Single
348,51.0,80000,82000,1918,Single
349,52.0,82000,84000,1918,Single
350,53.0,84000,86000,1918,Single
351,54.0,86000,88000,1918,Single
352,55.0,88000,90000,1918,Single
353,56.0,90000,92000,1918,Single
354,57.0,92000,94000,1918,Single
355,58.0,94000,96000,1918,Single
356,59.0,96000,98000,1918,Single
357,60.0,98000,100000,1918,Single
358,64.0,100000,150000,1918,Single
359,68.0,150000,200000,1918,Single
360,72.0,200000,300000,1918,Single
361,75.0,300000,500000,1918,Single
362,76.0,500000,1000000,1918,Single
363,77.0,1000000,10000000,1918,Single
364,4.0,0,4000,1919,Head
365,8.0,4000,5000,1919,Head
366,9.0,5000,6000,1919,Head
367,10.0,6000,8000,1919,Head
368,11.0,8000,10000,1919,Head
369,12.0,10000,12000,1919,Head
370,13.0,12000,14000,1919,Head
371,14.0,14000,16000,1919,Head
372,15.0,16000,18000,1919,Head
373,16.0,18000,20000,1919,Head
374,17.0,20000,22000,1919,Head
375,18.0,22000,24000,1919,Head
376,19.0,24000,26000,1919,Head
377,20.0,26000,28000,1919,Head
378,21.0,28000,30000,1919,Head
379,22.0,30000,32000,1919,Head
380,23.0,32000,34000,1919,Head
381,24.0,34000,36000,1919,Head
382,25.0,36000,38000,1919,Head
383,26.0,38000,40000,1919,Head
384,27.0,40000,42000,1919,Head
385,28.0,42000,44000,1919,Head
386,29.0,44000,46000,1919,Head
387,30.0,46000,48000,1919,Head
388,31.0,48000,50000,1919,Head
389,32.0,50000,52000,1919,Head
390,33.0,52000,54000,1919,Head
391,34.0,54000,56000,1919,Head
392,35.0,56000,58000,1919,Head
393,36.0,58000,60000,1919,Head
394,37.0,60000,62000,1919,Head
395,38.0,62000,64000,1919,Head
396,39.0,64000,66000,1919,Head
397,40.0,66000,68000,1919,Head
398,41.0,68000,70000,1919,Head
399,42.0,70000,72000,1919,Head
400,43.0,72000,74000,1919,Head
401,44.0,74000,76000,1919,Head
402,45.0,76000,78000,1919,Head
403,46.0,78000,80000,1919,Head
404,47.0,80000,82000,1919,Head
405,48.0,82000,84000,1919,Head
406,49.0,84000,86000,1919,Head
407,50.0,86000,88000,1919,Head
408,51.0,88000,90000,1919,Head
409,52.0,90000,92000,1919,Head
410,53.0,92000,94000,1919,Head
411,54.0,94000,96000,1919,Head
412,55.0,96000,98000,1919,Head
413,56.0,98000,100000,1919,Head
414,60.0,100000,150000,1919,Head
415,64.0,150000,200000,1919,Head
416,68.0,200000,300000,1919,Head
417,71.0,300000,500000,1919,Head
418,72.0,500000,1000000,1919,Head
419,73.0,1000000,10000000,1919,Head
420,4.0,0,4000,1919,Jointly
421,8.0,4000,5000,1919,Jointly
422,9.0,5000,6000,1919,Jointly
423,10.0,6000,8000,1919,Jointly
424,11.0,8000,10000,1919,Jointly
425,12.0,10000,12000,1919,Jointly
426,13.0,12000,14000,1919,Jointly
427,14.0,14000,16000,1919,Jointly
428,15.0,16000,18000,1919,Jointly
429,16.0,18000,20000,1919,Jointly
430,17.0,20000,22000,1919,Jointly
431,18.0,22000,24000,1919,Jointly
432,19.0,24000,26000,1919,Jointly
433,20.0,26000,28000,1919,Jointly
434,21.0,28000,30000,1919,Jointly
435,22.0,30000,32000,1919,Jointly
436,23.0,32000,34000,1919,Jointly
437,24.0,34000,36000,1919,Jointly
438,25.0,36000,38000,1919,Jointly
439,26.0,38000,40000,1919,Jointly
440,27.0,40000,42000,1919,Jointly
441,28.0,42000,44000,1919,Jointly
442,29.0,44000,46000,1919,Jointly
443,30.0,46000,48000,1919,Jointly
444,31.0,48000,50000,1919,Jointly
445,32.0,50000,52000,1919,Jointly
446,33.0,52000,54000,1919,Jointly
447,34.0,54000,56000,1919,Jointly
448,35.0,56000,58000,1919,Jointly
449,36.0,58000,60000,1919,Jointly
450,37.0,60000,62000,1919,Jointly
451,38.0,62000,64000,1919,Jointly
452,39.0,64000,66000,1919,Jointly
453,40.0,66000,68000,1919,Jointly
454,41.0,68000,70000,1919,Jointly
455,42.0,70000,72000,1919,Jointly
456,43.0,72000,74000,1919,Jointly
457,44.0,74000,76000,1919,Jointly
458,45.0,76000,78000,1919,Jointly
459,46.0,78000,80000,1919,Jointly
460,47.0,80000,82000,1919,Jointly
461,48.0,82000,84000,1919,Jointly
462,49.0,84000,86000,1919,Jointly
463,50.0,86000,88000,1919,Jointly
464,51.0,88000,90000,1919,Jointly
465,52.0,90000,92000,1919,Jointly
466,53.0,92000,94000,1919,Jointly
467,54.0,94000,96000,1919,Jointly
468,55.0,96000,98000,1919,Jointly
469,56.0,98000,100000,1919,Jointly
470,60.0,100000,150000,1919,Jointly
471,64.0,150000,200000,1919,Jointly
472,68.0,200000,300000,1919,Jointly
473,71.0,300000,500000,1919,Jointly
474,72.0,500000,1000000,1919,Jointly
475,73.0,1000000,10000000,1919,Jointly
476,4.0,0,4000,1919,Separately
477,8.0,4000,5000,1919,Separately
478,9.0,5000,6000,1919,Separately
479,10.0,6000,8000,1919,Separately
480,11.0,8000,10000,1919,Separately
481,12.0,10000,12000,1919,Separately
482,13.0,12000,14000,1919,Separately
483,14.0,14000,16000,1919,Separately
484,15.0,16000,18000,1919,Separately
485,16.0,18000,20000,1919,Separately
486,17.0,20000,22000,1919,Separately
487,18.0,22000,24000,1919,Separately
488,19.0,24000,26000,1919,Separately
489,20.0,26000,28000,1919,Separately
490,21.0,28000,30000,1919,Separately
491,22.0,30000,32000,1919,Separately
492,23.0,32000,34000,1919,Separately
493,24.0,34000,36000,1919,Separately
494,25.0,36000,38000,1919,Separately
495,26.0,38000,40000,1919,Separately
496,27.0,40000,42000,1919,Separately
497,28.0,42000,44000,1919,Separately
498,29.0,44000,46000,1919,Separately
499,30.0,46000,48000,1919,Separately
500,31.0,48000,50000,1919,Separately
501,32.0,50000,52000,1919,Separately
502,33.0,52000,54000,1919,Separately
503,34.0,54000,56000,1919,Separately
504,35.0,56000,58000,1919,Separately
505,36.0,58000,60000,1919,Separately
506,37.0,60000,62000,1919,Separately
507,38.0,62000,64000,1919,Separately
508,39.0,64000,66000,1919,Separately
509,40.0,66000,68000,1919,Separately
510,41.0,68000,70000,1919,Separately
511,42.0,70000,72000,1919,Separately
512,43.0,72000,74000,1919,Separately
513,44.0,74000,76000,1919,Separately
514,45.0,76000,78000,1919,Separately
515,46.0,78000,80000,1919,Separately
516,47.0,80000,82000,1919,Separately
517,48.0,82000,84000,1919,Separately
518,49.0,84000,86000,1919,Separately
519,50.0,86000,88000,1919,Separately
520,51.0,88000,90000,1919,Separately
521,52.0,90000,92000,1919,Separately
522,53.0,92000,94000,1919,Separately
523,54.0,94000,96000,1919,Separately
524,55.0,96000,98000,1919,Separately
525,56.0,98000,100000,1919,Separately
526,60.0,100000,150000,1919,Separately
527,64.0,150000,200000,1919,Separately
528,68.0,200000,300000,1919,Separately
529,71.0,300000,500000,1919,Separately
530,72.0,500000,1000000,1919,Separately
531,73.0,1000000,10000000,1919,Separately
532,4.0,0,4000,1919,Single
533,8.0,4000,5000,1919,Single
534,9.0,5000,6000,1919,Single
535,10.0,6000,8000,1919,Single
536,11.0,8000,10000,1919,Single
537,12.0,10000,12000,1919,Single
538,13.0,12000,14000,1919,Single
539,14.0,14000,16000,1919,Single
540,15.0,16000,18000,1919,Single
541,16.0,18000,20000,1919,Single
542,17.0,20000,22000,1919,Single
543,18.0,22000,24000,1919,Single
544,19.0,24000,26000,1919,Single
545,20.0,26000,28000,1919,Single
546,21.0,28000,30000,1919,Single
547,22.0,30000,32000,1919,Single
548,23.0,32000,34000,1919,Single
549,24.0,34000,36000,1919,Single
550,25.0,36000,38000,1919,Single
551,26.0,38000,40000,1919,Single
552,27.0,40000,42000,1919,Single
553,28.0,42000,44000,1919,Single
554,29.0,44000,46000,1919,Single
555,30.0,46000,48000,1919,Single
556,31.0,48000,50000,1919,Single
557,32.0,50000,52000,1919,Single
558,33.0,52000,54000,1919,Single
559,34.0,54000,56000,1919,Single
560,35.0,56000,58000,1919,Single
561,36.0,58000,60000,1919,Single
562,37.0,60000,62000,1919,Single
563,38.0,62000,64000,1919,Single
564,39.0,64000,66000,1919,Single
565,40.0,66000,68000,1919,Single
566,41.0,68000,70000,1919,Single
567,42.0,70000,72000,1919,Single
568,43.0,72000,74000,1919,Single
569,44.0,74000,76000,1919,Single
570,45.0,76000,78000,1919,Single
571,46.0,78000,80000,1919,Single
572,47.0,80000,82000,1919,Single
573,48.0,82000,84000,1919,Single
574,49.0,84000,86000,1919,Single
575,50.0,86000,88000,1919,Single
576,51.0,88000,90000,1919,Single
577,52.0,90000,92000,1919,Single
578,53.0,92000,94000,1919,Single
579,54.0,94000,96000,1919,Single
580,55.0,96000,98000,1919,Single
581,56.0,98000,100000,1919,Single
582,60.0,100000,150000,1919,Single
583,64.0,150000,200000,1919,Single
584,68.0,200000,300000,1919,Single
585,71.0,300000,500000,1919,Single
586,72.0,500000,1000000,1919,Single
587,73.0,1000000,10000000,1919,Single
588,4.0,0,4000,1920,Head
589,8.0,4000,5000,1920,Head
590,9.0,5000,6000,1920,Head
591,10.0,6000,8000,1920,Head
592,11.0,8000,10000,1920,Head
593,12.0,10000,12000,1920,Head
594,13.0,12000,14000,1920,Head
595,14.0,14000,16000,1920,Head
596,15.0,16000,18000,1920,Head
597,16.0,18000,20000,1920,Head
598,17.0,20000,22000,1920,Head
599,18.0,22000,24000,1920,Head
600,19.0,24000,26000,1920,Head
601,20.0,26000,28000,1920,Head
602,21.0,28000,30000,1920,Head
603,22.0,30000,32000,1920,Head
604,23.0,32000,34000,1920,Head
605,24.0,34000,36000,1920,Head
606,25.0,36000,38000,1920,Head
607,26.0,38000,40000,1920,Head
608,27.0,40000,42000,1920,Head
609,28.0,42000,44000,1920,Head
610,29.0,44000,46000,1920,Head
611,30.0,46000,48000,1920,Head
612,31.0,48000,50000,1920,Head
613,32.0,50000,52000,1920,Head
614,33.0,52000,54000,1920,Head
615,34.0,54000,56000,1920,Head
616,35.0,56000,58000,1920,Head
617,36.0,58000,60000,1920,Head
618,37.0,60000,62000,1920,Head
619,38.0,62000,64000,1920,Head
620,39.0,64000,66000,1920,Head
621,40.0,66000,68000,1920,Head
622,41.0,68000,70000,1920,Head
623,42.0,70000,72000,1920,Head
624,43.0,72000,74000,1920,Head
625,44.0,74000,76000,1920,Head
626,45.0,76000,78000,1920,Head
627,46.0,78000,80000,1920,Head
628,47.0,80000,82000,1920,Head
629,48.0,82000,84000,1920,Head
630,49.0,84000,86000,1920,Head
631,50.0,86000,88000,1920,Head
632,51.0,88000,90000,1920,Head
633,52.0,90000,92000,1920,Head
634,53.0,92000,94000,1920,Head
635,54.0,94000,96000,1920,Head
636,55.0,96000,98000,1920,Head
637,56.0,98000,100000,1920,Head
638,60.0,100000,150000,1920,Head
639,64.0,150000,200000,1920,Head
640,68.0,200000,300000,1920,Head
641,71.0,300000,500000,1920,Head
642,72.0,500000,1000000,1920,Head
643,73.0,1000000,10000000,1920,Head
644,4.0,0,4000,1920,Jointly
645,8.0,4000,5000,1920,Jointly
646,9.0,5000,6000,1920,Jointly
647,10.0,6000,8000,1920,Jointly
648,11.0,8000,10000,1920,Jointly
649,12.0,10000,12000,1920,Jointly
650,13.0,12000,14000,1920,Jointly
651,14.0,14000,16000,1920,Jointly
652,15.0,16000,18000,1920,Jointly
653,16.0,18000,20000,1920,Jointly
654,17.0,20000,22000,1920,Jointly
655,18.0,22000,24000,1920,Jointly
656,19.0,24000,26000,1920,Jointly
657,20.0,26000,28000,1920,Jointly
658,21.0,28000,30000,1920,Jointly
659,22.0,30000,32000,1920,Jointly
660,23.0,32000,34000,1920,Jointly
661,24.0,34000,36000,1920,Jointly
662,25.0,36000,38000,1920,Jointly
663,26.0,38000,40000,1920,Jointly
664,27.0,40000,42000,1920,Jointly
665,28.0,42000,44000,1920,Jointly
666,29.0,44000,46000,1920,Jointly
667,30.0,46000,48000,1920,Jointly
668,31.0,48000,50000,1920,Jointly
669,32.0,50000,52000,1920,Jointly
670,33.0,52000,54000,1920,Jointly
671,34.0,54000,56000,1920,Jointly
672,35.0,56000,58000,1920,Jointly
673,36.0,58000,60000,1920,Jointly
674,37.0,60000,62000,1920,Jointly
675,38.0,62000,64000,1920,Jointly
676,39.0,64000,66000,1920,Jointly
677,40.0,66000,68000,1920,Jointly
678,41.0,68000,70000,1920,Jointly
679,42.0,70000,72000,1920,Jointly
680,43.0,72000,74000,1920,Jointly
681,44.0,74000,76000,1920,Jointly
682,45.0,76000,78000,1920,Jointly
683,46.0,78000,80000,1920,Jointly
684,47.0,80000,82000,1920,Jointly
685,48.0,82000,84000,1920,Jointly
686,49.0,84000,86000,1920,Jointly
687,50.0,86000,88000,1920,Jointly
688,51.0,88000,90000,1920,Jointly
689,52.0,90000,92000,1920,Jointly
690,53.0,92000,94000,1920,Jointly
691,54.0,94000,96000,1920,Jointly
692,55.0,96000,98000,1920,Jointly
693,56.0,98000,100000,1920,Jointly
694,60.0,100000,150000,1920,Jointly
695,64.0,150000,200000,1920,Jointly
696,68.0,200000,300000,1920,Jointly
697,71.0,300000,500000,1920,Jointly
698,72.0,500000,1000000,1920,Jointly
699,73.0,1000000,10000000,1920,Jointly
700,4.0,0,4000,1920,Separately
701,8.0,4000,5000,1920,Separately
702,9.0,5000,6000,1920,Separately
703,10.0,6000,8000,1920,Separately
704,11.0,8000,10000,1920,Separately
705,12.0,10000,12000,1920,Separately
706,13.0,12000,14000,1920,Separately
707,14.0,14000,16000,1920,Separately
708,15.0,16000,18000,1920,Separately
709,16.0,18000,20000,1920,Separately
710,17.0,20000,22000,1920,Separately
711,18.0,22000,24000,1920,Separately
712,19.0,24000,26000,1920,Separately
713,20.0,26000,28000,1920,Separately
714,21.0,28000,30000,1920,Separately
715,22.0,30000,32000,1920,Separately
716,23.0,32000,34000,1920,Separately
717,24.0,34000,36000,1920,Separately
718,25.0,36000,38000,1920,Separately
719,26.0,38000,40000,1920,Separately
720,27.0,40000,42000,1920,Separately
721,28.0,42000,44000,1920,Separately
722,29.0,44000,46000,1920,Separately
723,30.0,46000,48000,1920,Separately
724,31.0,48000,50000,1920,Separately
725,32.0,50000,52000,1920,Separately
726,33.0,52000,54000,1920,Separately
727,34.0,54000,56000,1920,Separately
728,35.0,56000,58000,1920,Separately
729,36.0,58000,60000,1920,Separately
730,37.0,60000,62000,1920,Separately
731,38.0,62000,64000,1920,Separately
732,39.0,64000,66000,1920,Separately
733,40.0,66000,68000,1920,Separately
734,41.0,68000,70000,1920,Separately
735,42.0,70000,72000,1920,Separately
736,43.0,72000,74000,1920,Separately
737,44.0,74000,76000,1920,Separately
738,45.0,76000,78000,1920,Separately
739,46.0,78000,80000,1920,Separately
